horse_name,section,show_class,show,rider,place,entries,points
Horse: Abracadabra van Overis Z        #17401   ,Adult Hunter 18-35,$200 Adult Amateur Hunter 18-35,World Equestrian Ocala Winter Spectacular #4,Elysse E. Stolpe,7,15,2
Horse: Abudabi        #14496   ,"Performance Hunter 3'3""","$350 Performance Handy Hunter 3'3""",World Equestrian Ocala Winter Spectacular #6,Kostadin Kalanov,4,50,5
Horse: Acapulco        #14440   ,"Performance Hunter 3'3""","$300 Performance Hunter 3'3""",World Equestrian Center Winter Classic #8,Stefanie A. Portman,9,11,0
Horse: Aces Wild        #17604   ,Adult Jumper,$500 Adult Amateur Jumper 1.10m 339.a,World Equestrian Ocala Winter Spectacular #1,Megan Miller,2,12,7
Horse: Actender Ps        #17165   ,"Green Hunter 3'6""","$600 Green Handy Hunter 3'6""",World Equestrian Ocala Winter Spectacular #2,Havens Schatt,1,9,8
Horse: Action Augustin        #22338   ,Low Children's Jumper,$500 Low Childrens's Jumper Classic 1.00m 2.2b,World Equestrian Center Winter Classic #18,Olivia Combs,5,15,4
Horse: Adare Ya To        #14358   ,1.25m Jumper,$600 1.25 Meter Jumper 340.c,World Equestrian Ocala Winter Spectacular #9,August Torsilieri,1,38,10
Horse: Admire the Dark        #17314   ,Intermediate Adult Hunter,$100 Intermediate Adult Hunter,World Equestrian Ocala Winter Spectacular #1,Phoebe A. Weseley,3,25,6
Horse: Adoctro        #18378   ,Children's Jumper,$500 Childrens Jumper 1.10m 340.c,World Equestrian Ocala Winter Spectacular #3,Claire Campbell,1,20,10
Horse: Adonis        #21133   ,.65m Jumper Open,$100 .65m Jumper 340.c,World Equestrian Ocala Winter Spectacular #9,Amber Moss,2,15,7
Horse: Adoration        #20580   ,Children's Hunter 15-17,$200 Children's Hunter 15-17 (1st round Classic),World Equestrian Ocala Winter Spectacular #11,Grace Leard,6,10,3
Horse: Afelix Dell' A        #22499   ,Green Hunter 3',"$200 Green Hunter 3'0""",World Equestrian Center Winter Classic #19,Tina Judge-Boyle,2,10,7
Horse: After Dark        #17817   ,Adult Hunter 36 and over,$200 Adult Hunter 50+,World Equestrian Ocala Winter Spectacular #2,Linda Viens,4,12,5
Horse: After De Breve        #19766   ,Intermediate Adult Hunter,$100 Intermediate Adult Hunter,World Equestrian Ocala Winter Spectacular #6,Monica Waters,5,35,4
Horse: Agnetha        #15112   ,Children's Jumper,$500 Childrens Jumper 1.10m 340.c,World Equestrian Ocala Winter Spectacular #8,Hays Lanter,9,16,0
Horse: Aiden        #17812   ,"Performance Hunter 3'6""","$150 Performance Hunter 3'6"" U/S",World Equestrian Ocala Winter Spectacular #2,Jacob Brupbacher,3,4,6
Horse: Aintree Z        #15614   ,1.20m Jumper,$500 1.20 Meter 339.a,World Equestrian Ocala Winter Spectacular #2,Katia Manuel-Adams,7,46,2
Horse: Air Arko Z        #17242   ,Limit/Long Stirrup Hunter,Long Stirrup Hunter (1st round Classic),World Equestrian Ocala Winter Spectacular #1,Allison Johnson,1,5,8
Horse: Airbrush        #18111   ,Low Adult Jumper,$200 Low Adult Jumper 1.00m 340.c,World Equestrian Ocala Winter Spectacular #2,Larry Antonini,1,20,10
Horse: AirDrop        #14877   ,Adult Jumper,$1500 NAL/WIHS Adult Jumper Classic 1.15m 2.2b,World Equestrian Center Winter Classic #19,Sarah L. Berkowitz,8,10,1
Horse: AIRWAY SEMILLY        #22347   ,Open Jumper by Points,$1000 1.30 Meter Jumper 2.1,World Equestrian Center Winter Classic #17,Richard P. Cheska,5,5,4
Horse: AJ        #21054   ,Children's Hunter 15-17,$200 Children's Hunter 15-17,World Equestrian Ocala Winter Spectacular #9,Emma Sartor,1,15,10
Horse: Akadian        #18382   ,Adult Hunter 36 and over,$200 Adult Amateur 50+,World Equestrian Ocala Winter Spectacular #3,Eric Lamon,6,12,3
Horse: Akrobat        #18383   ,Adult Hunter 36 and over,$200 Adult Amateur Hunter 36-49,World Equestrian Ocala Winter Spectacular #6,Melanie Dixon,8,9,1
Horse: Aksai Chin Vdl        #18306   ,Medium Jr/AO Jumper,$1000 Med Jr/Am/Am Own 1.30m/1.35m 339.a,World Equestrian Ocala Winter Spectacular #2,Jami J. Jensen,3,13,6
Horse: Al betcha wanna look        #14469   ,Intermediate Adult Hunter,$100 Intermediate Adult Hunter,World Equestrian Ocala Winter Spectacular #3,Alison Vandercar,5,35,4
Horse: Alacalpulco        #17424   ,1.20m Jumper,$500 1.20 Meter Jumper 339.a,World Equestrian Ocala Winter Spectacular #5,Candice King,9,71,0
Horse: Aladdin        #17151   ,"Green Hunter 3'3""","$350 Green Hunter 3'3""",World Equestrian Ocala Winter Spectacular #1,Jennifer Miller,8,10,1
Horse: Aladdin Sane        #17867   ,Medium Green Pony Hunter,$200 Small/Medium Green Pony Hunter,World Equestrian Ocala Winter Spectacular #6,Sydney Munch,3,6,6
Horse: Alanta        #17559   ,1.35m Jumper,$1000 1.35 Meter Jumper 343.b,World Equestrian Ocala Winter Spectacular #2,Hadden Frost,7,15,2
Horse: Alaska        #17205   ,"Junior Hunter 3'3"" 16-17","$100 Junior Hunter 3'3"" 16-17 U/S",World Equestrian Ocala Winter Spectacular #3,Elizabeth Crevar,3,3,6
Horse: Alastair        #16528   ,"Junior Hunter 3'3"" 16-17","Junior Hunter 3'3"" U/S",World Equestrian Center Winter Classic #17,Alaina Schwartz,4,6,5
Horse: Albion College Piper        #15209   ,Short Stirrup Hunter,Opportunity Short Stirrup Hunter U/S,World Equestrian Center Winter Classic #18,Sydney Baxter,3,13,6
Horse: Alcatas        #18384   ,Thoroughbred Jumper,Thoroughbred Jumper 1.00m 340.c,World Equestrian Ocala Winter Spectacular #3,Lockie Mcneish,7,7,2
Horse: Alejandro FCF        #17492   ,1.30m Jumper,$1000 1.30 Meter Jumper 343.b,World Equestrian Ocala Winter Spectacular #1,August C. Torsilieri,3,35,6
Horse: Alessio        #22281   ,Intermediate Children's Hunter,"Intermediate Children's Hunter 2'6""",World Equestrian Center Winter Classic #17,Saoirse Walsh,3,21,6
Horse: Alexus        #17296   ,Baby Green Hunter,"Baby Green Hunter 2'6""",World Equestrian Ocala Winter Spectacular #1,Lisa Toulan,5,11,4
Horse: Algorithm        #21906   ,Children's Hunter 15-17,$200 Children's Hunter 15-17,World Equestrian Ocala Winter Spectacular #12,Victoria Holmes,4,15,5
Horse: Aliani Car        #18101   ,Baby Green Hunter,"Baby Green Hunter 2'6""",World Equestrian Ocala Winter Spectacular #5,Tara Mered,4,15,5
Horse: ALIAS DES ETANG        #16662   ,Open Jumper by Money Won,$1200 1.35 Meter Jumper,World Equestrian Center Winter Classic #14,Richard P. Cheska,2,3,264
Horse: Alivio        #14606   ,Intermediate Children's Hunter,"Intermediate Children's Hunter 2'6""",World Equestrian Center Winter Classic #18,Taylor A. Schuh,5,25,4
Horse: Aliyar        #17201   ,Children's Hunter 14 & under,$200 Children's Hunter 14 & under,World Equestrian Ocala Winter Spectacular #1,Jennifer Prill,8,8,1
Horse: All Eyes on Me        #16098   ,"Green Hunter 3'6""","$400 Green Hunter 3'6""",World Equestrian Center Winter Classic #17,Sarah Robertson,3,4,6
Horse: All Good Things        #21909   ,.65m Jumper Open,$100 .65m Jumper 340.c,World Equestrian Ocala Winter Spectacular #12,Kallie Schafers,3,18,6
Horse: All In        #17890   ,Adult Hunter 18-35,$200 Adult Hunter 18-35,World Equestrian Ocala Winter Spectacular #2,Nicole C. Lyvere,3,27,6
Horse: All That        #19961   ,USHJA/NSBA 3' Hunter,USHJA Hunter 3' (California Split),World Equestrian Center Winter Classic #19,Sam Berry,5,27,4
Horse: All that jazz        #22092   ,Limit/Long Stirrup Hunter,Long Stirrup Hunter (first round Classic),World Equestrian Ocala Winter Spectacular #12,Faith Johnson,4,14,5
Horse: All The Best        #20038   ,"USHJA/NSBA 2'3"" Hunter","NSBA Hunter 2'3""",World Equestrian Ocala Winter Spectacular #7,Lizabeth L. Fisher,3,34,6
Horse: All the Right Moves        #18387   ,.65m Jumper Open,$100 .65m Jumper 340.c,World Equestrian Ocala Winter Spectacular #4,Kara Ragan,8,19,1
Horse: Allihies Majestic Boy        #18388   ,Modified Children's/Adult Jumper,$600 Modified Child/Adult Jumper 1.15m 339.a,World Equestrian Ocala Winter Spectacular #6,Kacy Lee,6,16,3
Horse: AllTheseShadesOfBlue        #14862   ,USHJA/NSBA 2' Hunter,NSBA Hunter 2',World Equestrian Ocala Winter Spectacular #6,Nicole Schneider,7,31,2
Horse: Allure        #18389   ,USHJA/NSBA 2' Hunter,NSBA Hunter 2',World Equestrian Ocala Winter Spectacular #4,,7,18,2
Horse: Allure        #17705   ,Adult Jumper,$1000 Low Jr/Am/AO Jumper 1.20-1.25 339.a,World Equestrian Ocala Winter Spectacular #5,Sabine Neumann,10,38,0
Horse: Allure Dve        #17157   ,Green Hunter 3',"$350 Green Hunter 3'0""",World Equestrian Ocala Winter Spectacular #1,Morgan Ward,6,13,3
Horse: Aloha Maya        #21629   ,Short Stirrup Hunter,Short Stirrup Hunter,World Equestrian Ocala Winter Spectacular #11,Anna Skorewicz,4,11,5
Horse: Along Came A Spider        #17653   ,Short Stirrup Hunter,Short Stirrup Hunter,World Equestrian Ocala Winter Spectacular #2,Frances Kelly,6,16,3
Horse: Aloys St        #18390   ,Low Adult Jumper,$200 Low Adult Jumper 1.00m 339.a,World Equestrian Ocala Winter Spectacular #8,Anna Mead,12,29,0
Horse: Alpine's Revolution        #21047   ,"Large Junior Hunter 3'6""","$400 Junior Hunter 3'6""",World Equestrian Ocala Winter Spectacular #9,Joe Craver,8,8,1
Horse: Alter Ego        #18392   ,1.40m Jumper,$1500 1.40 Meter Jumper 339.a,World Equestrian Ocala Winter Spectacular #8,Diego Perez Bilbao,1,16,10
Horse: Altesse        #17954   ,Intermediate Children's Hunter,$100 Intermediate Children's Hunter,World Equestrian Ocala Winter Spectacular #2,Addison Mae King,7,22,2
Horse: Altesse De Virton        #22618   ,Low Adult Jumper,Low Adult Jumper 1.00m 2.2d,World Equestrian Center Winter Classic #19,Molly M. Kennedy,1,12,10
Horse: Aluminum Overcast        #15703   ,Intermediate Children's Hunter,$100 Intermediate Children's Hunter (1st round c,World Equestrian Ocala Winter Spectacular #5,Caroline Hadley,8,22,1
Horse: Always        #18395   ,"Amateur Owner Hunter 3'3"" 36 and over","$300 Amateur Owner Hunter 3'3"" 36+",World Equestrian Ocala Winter Spectacular #11,Valerie Vogel,10,13,0
Horse: Always Fun Size        #22139   ,Novice Children's/Adult Jumper,$150 Novice Children's Jumper .90-.95m 343.b,World Equestrian Ocala Winter Spectacular #12,Kaitlyn Nussel,6,14,3
Horse: Amant        #17677   ,Future Hunter,"Future Hunter 1'6""-2'",World Equestrian Ocala Winter Spectacular #1,Kayla Jacobs,6,6,3
Horse: Amar        #17686   ,"Performance Hunter 3'3""","$150 Performance Hunter 3'3"" U/S",World Equestrian Ocala Winter Spectacular #2,Naomi Gillen,2,3,7
Horse: Amaretto        #15552   ,Adult Hunter 18-35,$200 Adult Amateur Hunter 3',World Equestrian Center Winter Classic #17,Marisa Scarantino,1,12,10
Horse: Amaro        #18396   ,Adult Hunter 18-35,$100 Adult Amateur Hunter 18-35 U/S,World Equestrian Ocala Winter Spectacular #12,Brianna Y. Leone,6,18,3
Horse: Amaro Z        #15930   ,"Performance Hunter 3'3""","$350 Performance Handy Hunter 3'3""",World Equestrian Ocala Winter Spectacular #6,Will Baker,7,50,2
Horse: Amaze Me        #15533   ,"Green Hunter 3'6""","$200 Green Hunter 3'6"" U/S",World Equestrian Ocala Winter Spectacular #11,Heather Froehlich Cortell,4,5,5
Horse: Ambition        #21566   ,"Green Hunter 3'6""","$200 Green Hunter 3'6"" U/S",World Equestrian Ocala Winter Spectacular #11,Jennifer Ritucci,1,5,8
Horse: Amelia        #18399   ,Green Hunter 3',"$350 Green Hunter 3'0""",World Equestrian Ocala Winter Spectacular #4,Donna M. Struve,6,15,3
Horse: American Belle        #18401   ,"Green Hunter 3'3""","$350 Green Hunter 3'3""",World Equestrian Ocala Winter Spectacular #12,Katalena Prusso,8,11,1
Horse: American Express        #17389   ,Low Children's Jumper,$200 Low Children's Jumper 1.00m 339.a,World Equestrian Ocala Winter Spectacular #3,Gabrielle Adams,2,24,7
Horse: American Luxury        #18402   ,Future Hunter,"Future Hunter 1'6""-2'",World Equestrian Ocala Winter Spectacular #8,Brittany Tice,6,13,3
Horse: Ammeretto        #10290   ,Low Jr/AO Jumper,$5000 Low Jr/Am/Am Own Classic 1.20m 340.c,World Equestrian Ocala Winter Spectacular #1,Izzy J. Beisel,4,32,5
Horse: Amontillado        #18405   ,.65m Jumper Open,$100 .65m Jumper 343.b,World Equestrian Ocala Winter Spectacular #5,Kelly Johnson,7,10,2
Horse: Amore        #19514   ,Future Hunter,Future Hunter U/S,World Equestrian Ocala Winter Spectacular #6,Jill Hardie,3,12,6
Horse: Amore From Second Life Z        #18406   ,Young Jumper 7 Year Old,$250 7 Year Old Young Jumper 343.b,World Equestrian Ocala Winter Spectacular #6,CATALINA PERALTA,8,12,1
Horse: Amstel        #20893   ,Intermediate Children's Hunter,$100 Intermediate Children's Hunter,World Equestrian Ocala Winter Spectacular #11,Sunshine Buchanan,4,20,5
Horse: Amuzing        #10292   ,Adult Hunter 36 and over,$200 Adult Hunter 50+,World Equestrian Ocala Winter Spectacular #2,Jill Hardie,6,13,3
Horse: Anabella        #18408   ,Adult Hunter 18-35,$100 Adult Amateur 18-35 U/S,World Equestrian Ocala Winter Spectacular #3,Madeline Wonsick,6,10,3
Horse: Anabelle 28        #22606   ,Children's Jumper,$200 Childrens Jumper 1.10m 2.1,World Equestrian Center Winter Classic #19,Reagan Royalty,7,11,2
Horse: Andante        #22664   ,Limit/Long Stirrup Hunter,Opportunity Limit Hunter 2' (1st round classic),World Equestrian Center Winter Classic #19,Abigail Rosekrans,7,12,2
Horse: Andante        #22488   ,Limit/Long Stirrup Hunter,Opportunity Limit Hunter 2',World Equestrian Center Winter Classic #18,Abigail Rosekrans,6,10,3
Horse: Anders        #17332   ,Children's Pony Hunter Sm/Med,$100 Children's Pony (1st round Classic),World Equestrian Ocala Winter Spectacular #1,Katalena Prusso,2,12,7
Horse: Andre        #17783   ,Green Hunter 3',"$350 Green Hunter 3'0""",World Equestrian Ocala Winter Spectacular #2,Kyle R. Muckler,7,29,2
Horse: Angelina        #17749   ,Low Jr/AO Jumper,$1000 Low Jr/Am/Am Own 1.20m 339.a,World Equestrian Ocala Winter Spectacular #1,Carson King,2,21,7
Horse: Anglonorman Platiere        #20697   ,Low Children's Jumper,$200 Low Children's Jumper 1.00m 339.a,World Equestrian Ocala Winter Spectacular #8,Ryleigh Finch,3,23,6
Horse: Anmarsh        #18409   ,.65m Jumper Open,$100 .65m Jumper 343.b,World Equestrian Ocala Winter Spectacular #6,Ava Tuman,2,20,7
Horse: Annabelle 28        #18410   ,Children's Jumper,$500 Childrens Jumper 1.10m 340.c,World Equestrian Ocala Winter Spectacular #6,Reagan Royalty,1,14,10
Horse: Annarilla        #18080   ,Novice Children's/Adult Jumper,$150 Novice Children's Jumper .90-.95m 340.c,World Equestrian Ocala Winter Spectacular #2,Ella Alvarez,4,24,5
Horse: Annings Catwalk        #16088   ,USHJA/NSBA 2' Hunter,NSBA Hunter 2',World Equestrian Ocala Winter Spectacular #3,Veronica Feeley,8,11,1
Horse: Anos Veros        #18412   ,Medium Jr/AO Jumper,$5000 Med/Am/AO Classic 1.35 340.c,World Equestrian Ocala Winter Spectacular #3,Stella Swarr,1,23,10
Horse: Answer Me This        #18007   ,Intermediate Children's Hunter,$100 Intermediate Children's Hunter,World Equestrian Ocala Winter Spectacular #2,Paige Wolfe,8,22,1
Horse: Answered Prayer        #21120   ,Intermediate Adult Hunter,$100 Intermediate Adult Hunter,World Equestrian Ocala Winter Spectacular #9,Grace Shankle,5,21,4
Horse: Antalya        #13177   ,Low Jr/AO Jumper,$400 Low Jr/Amateur Owner Jumper 1.20m/1.25m 2.2,World Equestrian Center Winter Classic #19,Steve S. LaPorta,7,8,2
Horse: Anthem        #20395   ,Large Pony Hunter,Large Pony Hunter Model,World Equestrian Ocala Winter Spectacular #7,Payton Blackwell,4,5,2.5
Horse: Any        #17561   ,High Jr/AO Jumper,$10000 High Jr/Am/Am Own 1.45m Classic 340.c,World Equestrian Ocala Winter Spectacular #1,Kady Abrahamson,2,9,7
Horse: Any Given Sunday        #18414   ,"WEC 3'6""-3'9"" Derby","$20000 WEC Hunter Derby 3'6""-3'9""",World Equestrian Ocala Winter Spectacular #6,Aristea Santoro,4,33,5
Horse: Anything Goes        #15051   ,USHJA/NSBA 2' Hunter,NSBA Hunter 2',World Equestrian Ocala Winter Spectacular #8,Maddyx Jett,5,29,4
Horse: Apollo        #16683   ,Children's Jumper,$200 Childrens Jumper 1.10m 2.1,World Equestrian Center Winter Classic #19,Alice Radentz,4,11,5
Horse: Apparently        #10306   ,Adult Hunter 18-35,$100 Adult Amateur Hunter 18-35 U/S,World Equestrian Center Winter Classic #19,Elliott Hodge,3,12,6
Horse: Appointed        #18015   ,"Performance Hunter 3'6""","$400 Performance Handy Hunter 3'6""",World Equestrian Ocala Winter Spectacular #3,Tommi A. Clark,2,16,7
Horse: Aquataine        #18415   ,Conformation Hunter,$400 Conformation Hunter,World Equestrian Ocala Winter Spectacular #8,Fifi Schmidt,1,3,8
Horse: Arabella        #13617   ,Limit/Long Stirrup Hunter,Opportunity Limit Hunter U/S,World Equestrian Center Winter Classic #18,Kathryn Hudson,1,10,8
Horse: Aragon        #14009   ,Medium Jr/AO Jumper,$3000 NAL Med Junior/AO Jumper Classic 1.35m,World Equestrian Center Winter Classic #2,Cassidy J. Oppermann,3,2,0
Horse: Arborist        #16431   ,Intermediate Children's Hunter,"Intermediate Children's Hunter 2'6""",World Equestrian Center Winter Classic #17,Isabella Eck,7,21,2
Horse: Archangel Z        #16011   ,Low Children's Jumper,Low Children's Jumper 1.00m 2.2d,World Equestrian Center Winter Classic #17,Dakota Goodwin,2,8,7
Horse: Archer        #20214   ,Children's Jumper,$500 Childrens Jumper 1.10m 340.c,World Equestrian Ocala Winter Spectacular #7,Avery Ella Moore,6,23,3
Horse: Ardragh Grandslam        #18417   ,Adult Jumper,$2500 Adult Amateur Jumper Classic 1.10m 340.c,World Equestrian Ocala Winter Spectacular #5,Jody Scudder,3,24,6
Horse: Ardragh Rock Star        #11947   ,Open Jumper by Points,$750 1.25 Meter Jumper 2.1,World Equestrian Center Winter Classic #19,Harriet L. McCord,2,5,7
Horse: Argentino        #19884   ,1.20m Jumper,$500 1.20 Meter Jumper 340.c,World Equestrian Ocala Winter Spectacular #8,Hugh Graham,10,41,0
Horse: Argento        #22530   ,Baby Green Hunter,"Baby Green Hunter 2'6""",World Equestrian Center Winter Classic #19,Stefanie A. Portman,2,11,7
Horse: Aristocract        #18420   ,Limit/Long Stirrup Hunter,Long Stirrup Hunter,World Equestrian Ocala Winter Spectacular #3,Jennifer Gulati,2,16,7
Horse: Arlon Killy Pj        #17329   ,Low Children's Jumper,$200 Low Children's Jumper 1.00m 339.a,World Equestrian Ocala Winter Spectacular #11,Lilly Mack,7,13,2
Horse: Armani Code        #18421   ,"Performance Hunter 3'3""","$350 Performance Hunter 3'3""",World Equestrian Ocala Winter Spectacular #7,Brooke F. Kemper,6,37,3
Horse: Arnacquine du Mesnil        #18423   ,Adult Jumper,$1000 Low Jr/Am/AO Jumper 1.20-1.25 339.a,World Equestrian Ocala Winter Spectacular #5,Melissa F. Rudershausen,4,29,5
Horse: Arobase Des Champs        #17472   ,Low Jr/AO Jumper,$1000 Low Jr/Am/AO Jumper 1.20m 339.a,World Equestrian Ocala Winter Spectacular #2,John Gilpin,7,44,2
Horse: Arosa B        #17780   ,Green Hunter 3',"$150 Green Hunter 3'0"" U/S",World Equestrian Ocala Winter Spectacular #2,Amanda P. Steege,1,26,10
Horse: Arpeggi        #18223   ,Open Jumper by Points,"$20,000 Welcome Prix 1.45m 340.c",World Equestrian Ocala Winter Spectacular #2,Brooke F. Kemper,4,22,5
Horse: Art of the Deal        #18425   ,"USHJA/NSBA 2'6"" Hunter","NSBA Hunter 2'6"" U/S",World Equestrian Ocala Winter Spectacular #4,Isabella Whaley,7,21,2
Horse: Artano G        #15457   ,Children's Hunter 14 & under,$200 Children's Hunter 14 & under,World Equestrian Ocala Winter Spectacular #2,Karrington Hall,6,12,3
Horse: Artiflex R        #12541   ,Low Jr/AO Jumper,$5000 Low Jr/Am/AO Classic 1.25 340.c,World Equestrian Ocala Winter Spectacular #3,Raquel l. Scharyj,9,25,0
Horse: Artwork        #19997   ,Children's Pony Hunter Large,"$100 Children's Pony Hunter Large 2'6""",World Equestrian Ocala Winter Spectacular #7,Georgia Wardner,1,9,8
Horse: As Du Couer        #17458   ,Low Jr/AO Jumper,$1000 Low Jr/Am/AO Jumper 1.25 340.c,World Equestrian Ocala Winter Spectacular #3,Allison Amel Stabley,2,20,7
Horse: As Ever        #10321   ,"Performance Hunter 3'3""","$350 Performance Hunter 3'3""",World Equestrian Ocala Winter Spectacular #5,Naomi Gillen,8,39,1
Horse: As You Wish        #22318   ,Low Adult Jumper,Low Adult Jumper 1.00m 2.2d,World Equestrian Center Winter Classic #17,Megan Schroeder,2,3,7
Horse: As You Wish        #16360   ,USHJA/NSBA 2' Hunter,NSBA Hunter 2',World Equestrian Ocala Winter Spectacular #9,karen b. Reid,2,21,7
Horse: As You Wish        #19244   ,Intermediate Children's Hunter,$100 Intermediate Children's Hunter,World Equestrian Ocala Winter Spectacular #5,Elizabeth Rinehart,3,22,6
Horse: Ascarina 4        #18032   ,Novice Children's/Adult Jumper,$150 Novice Children's Jumper .90-.95m 340.c,World Equestrian Ocala Winter Spectacular #11,Emilia Guthrie,6,15,3
Horse: Ashton Dakota        #19403   ,Open Jumper by Points,"$20,000 Welcome Prix 1.45m 340.c",World Equestrian Ocala Winter Spectacular #5,Rowan Willis,9,26,0
Horse: Asier S        #17147   ,"Green Hunter 3'3""","$350 Green Hunter 3'3""",World Equestrian Ocala Winter Spectacular #1,Sarah T. Barge,1,10,10
Horse: Asirea Fortuna        #17426   ,Children's Jumper,$500 Childrens Jumper 1.10m 340.c,World Equestrian Ocala Winter Spectacular #1,Chloe Crawford,2,9,7
Horse: Ask Nicely        #19212   ,Intermediate Children's Hunter,$100 Intermediate Children's Hunter,World Equestrian Ocala Winter Spectacular #5,Sadie Bash,5,22,4
Horse: Asombrada        #21758   ,Children's Jumper,$500 Childrens Jumper 1.10m 340.c,World Equestrian Ocala Winter Spectacular #11,Taylor Ahern,4,8,5
Horse: Astaire        #17229   ,USHJA/NSBA 3' Hunter,NSBA Hunter 3' U/S,World Equestrian Ocala Winter Spectacular #2,Renee F. Lenkart,3,11,6
Horse: Astaire        #22496   ,"Performance Hunter 3'3""","$300 Performance Hunter 3'3""",World Equestrian Center Winter Classic #19,Renee F. Lenkart,7,10,2
Horse: Astra Road        #14149   ,"Performance Hunter 3'3""","$300 Performance Hunter 3'3""",World Equestrian Center Winter Classic #19,Michaella T. Gerlacher,8,10,1
Horse: At Ease        #22533   ,Baby Green Hunter,"Baby Green Hunter 2'6""",World Equestrian Center Winter Classic #19,Tina Judge-Boyle,5,11,4
Horse: At One’s Word        #14511   ,USHJA/NSBA 3' Hunter,NSBA Hunter 3',World Equestrian Ocala Winter Spectacular #4,Douglas E. Boyd,5,21,4
Horse: Athletic Lady        #15087   ,Intermediate Children's/Adult Jumper,Intermediate Children's/Adult Jumper .80m 2.2b,World Equestrian Center Winter Classic #18,Rohan S. Ott,5,12,4
Horse: Atlantic        #10331   ,Children's Hunter 15-17,$200 Children's Hunter 15-17 (1st round Classic),World Equestrian Ocala Winter Spectacular #5,Reagan Ross,3,14,6
Horse: Atlantico        #18895   ,Low Children's Jumper,$200 Low Children's Jumper 1.00m 340.c,World Equestrian Ocala Winter Spectacular #8,Shelby Lucey,3,13,6
Horse: Atlantis        #19093   ,1.45m Jumper,$12500 1.45m Jumper Classic 340.c,World Equestrian Ocala Winter Spectacular #4,Samuel Parot,7,21,2
